,city_list,area_ave,price_all_ave,price_ave_ave
0,安庆,109.4377037037038,88.39585185185182,8060.062962962963
1,阜阳,125.99103703703705,113.15592592592591,8807.555555555555
2,合肥,109.27577777777776,197.93703703703707,18020.255555555555
3,马鞍山,99.23388888888888,103.11222222222219,9947.392592592592
4,芜湖,103.84951851851847,142.58481481481488,13656.644444444444
5,北京,96.77907407407409,647.7355555555556,67511.88888888889
6,重庆,96.85840740740733,129.88292592592592,13401.922222222222
7,福州,91.27851851851851,205.04703703703706,22327.1
8,泉州,109.25885185185184,186.60466666666667,17019.596296296295
9,厦门,102.92181481481477,519.002074074074,49889.207407407404
10,漳州,95.53196296296294,111.74225925925921,11609.737037037037
11,东莞,100.80292592592586,216.91222222222228,21108.74074074074
12,佛山,115.0607407407407,166.00870370370382,13553.555555555555
13,广州,106.5854814814815,378.45444444444445,34641.892592592594
14,惠州,103.20029629629627,108.07092592592592,10499.637037037037
15,江门,98.46877777777776,69.26096296296288,6747.57037037037
16,清远,106.7944814814815,74.2054814814814,6551.751851851852
17,深圳,98.0952222222222,653.1555555555556,63103.13333333333
18,珠海,105.77159259259261,221.37081481481482,20156.344444444443
19,湛江,101.03200000000002,92.59474074074073,8911.755555555555
20,中山,113.06796296296294,127.11603703703705,11039.081481481482
21,北海,85.64881481481483,45.682074074074045,5298.914814814815
22,防城港,109.96133333333339,60.372666666666646,5408.525925925926
23,桂林,101.77222222222223,54.856592592592584,5381.907407407408
24,柳州,98.41222222222225,79.24259259259257,8019.507407407407
25,南宁,106.5866666666667,131.31148148148145,12311.262962962963
26,贵阳,105.10077777777784,91.3969259259259,8568.077777777778
27,兰州,83.2167777777778,95.72407407407405,11546.374074074074
28,天水,131.7866296296297,133.29037037037034,10130.72962962963
29,保定,95.09362962962962,82.30444444444443,8604.788888888888
30,承德,124.1365925925926,126.51185185185184,10044.903703703703
31,邯郸,117.39318518518522,127.06777777777779,10553.937037037036
32,廊坊,100.05659259259257,139.08399999999997,13851.974074074074
33,石家庄,106.94081481481474,146.56074074074075,13664.14074074074
34,唐山,95.4885555555555,112.18074074074073,11431.151851851851
35,张家口,101.23185185185187,70.00403703703702,6793.103703703704
36,澄迈,90.27451851851849,104.99925925925926,11437.82962962963
37,海口,83.46281481481478,148.17666666666665,17450.381481481483
38,三亚,89.4844814814815,304.2011111111111,32838.43703703704
39,长沙,124.64562962962965,148.69170370370375,11461.25925925926
40,常德,115.7432222222222,80.19666666666657,6934.525925925926
41,湘西,124.6545185185185,59.25107407407395,4758.166666666667
42,岳阳,124.38766666666672,88.08018518518513,6694.922222222222
43,株洲,117.69340740740739,73.35288888888876,6098.8481481481485
44,开封,106.78748148148149,72.83148148148146,6485.492592592593
45,洛阳,110.28866666666661,112.14,9772.896296296296
46,平顶山,130.48840740740738,91.41296296296295,6884.996296296296
47,濮阳,121.61025925925928,91.89018518518517,7647.818518518518
48,新乡,107.43655555555556,78.47962962962958,7189.492592592593
49,许昌,113.82603703703707,70.4437037037037,6098.355555555556
50,郑州,117.54718518518516,149.6962962962963,12415.68148148148
51,周口,119.69985185185189,67.30999999999999,5627.577777777778
52,驻马店,130.5445185185185,92.41703703703699,6964.9111111111115
53,鄂州,110.04392592592596,66.25444444444442,5765.77037037037
54,黄石,111.07037037037037,67.83814814814814,6032.918518518519
55,武汉,109.22459259259264,192.01259259259263,17581.81111111111
56,襄阳,98.08040740740749,85.39259259259259,8651.414814814814
57,宜昌,106.32640740740746,78.57518518518515,7379.403703703703
58,哈尔滨,91.73744444444449,84.17440740740733,8889.185185185184
59,赣州,118.6915185185185,138.08214814814812,11284.385185185185
60,九江,105.00196296296292,89.27362962962953,8404.796296296296
61,吉安,126.99688888888885,93.59259259259252,7473.233333333334
62,南昌,106.48103703703703,122.147037037037,11287.814814814816
63,上饶,115.89448148148152,99.8655555555555,8500.474074074074
64,常州,103.64014814814814,164.6634814814815,15674.662962962962
65,常熟,143.15459259259242,248.70518518518517,17167.303703703703
66,丹阳,126.38418518518525,115.25725925925892,9195.67037037037
67,海门,131.75603703703703,209.26703703703748,16119.055555555555
68,淮安,108.50177777777779,121.49037037037033,11173.32962962963
69,江阴,136.17059259259256,186.3414814814815,13388.218518518519
70,句容,109.36600000000003,93.85814814814813,8662.04074074074
71,昆山,100.99444444444445,192.68918518518515,18706.34074074074
72,南京,99.79981481481482,345.323962962963,34854.34074074074
73,南通,108.7012592592593,169.56777777777788,15553.25925925926
74,苏州,123.3678148148148,366.78111111111104,27246.2
75,太仓,159.84244444444448,295.0124444444445,16702.522222222222
76,无锡,102.73185185185186,165.99333333333334,15914.751851851852
77,徐州,103.59133333333332,153.00148148148145,14218.707407407408
78,盐城,109.5656296296296,154.13829629629632,13974.02962962963
79,镇江,110.44640740740742,99.26074074074069,8916.533333333333
80,长春,95.32218518518523,92.73099999999998,9590.948148148149
81,吉林,89.84762962962962,62.81433333333325,6821.555555555556
82,大连,91.25881481481481,155.0691851851852,15990.218518518519
83,丹东,81.51418518518523,53.842814814814794,6224.751851851852
84,抚顺,109.71866666666666,72.78707407407404,6514.185185185185
85,沈阳,106.51925925925924,137.86911111111112,11834.948148148149
86,包头,98.93422222222225,76.70296296296296,7704.018518518518
87,赤峰,118.27622222222227,104.79981481481482,8630.907407407407
88,呼和浩特,108.00837037037041,111.29962962962962,10129.0
89,通辽,126.75214814814815,89.49981481481481,6963.188888888889
90,银川,106.05040740740738,83.25111111111106,7577.888888888889
91,菏泽,129.55392592592588,94.16729629629633,7099.974074074074
